                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.147,                 4.7421,                 1.7534,                0.31378,                0.24887,                0.21104,                0.08648,                 2.1076,                 2.5078,                 1.7679,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1166,                 2.8005,                 1.7676,                0.31855,                0.24776,                0.21515,                0.08363,                 2.1661,                 2.4151,                 1.7906,             0.00081653,             0.00081653,             0.00081653
                      3,                 2.0967,                 2.4312,                 1.7564,                0.55428,                0.26733,                0.25979,                0.10543,                 2.0215,                  2.295,                 1.6951,              0.0012002,              0.0012002,              0.0012002
                      4,                 2.0457,                  2.317,                 1.7533,                0.54829,                0.32951,                0.32146,                0.14085,                 1.9701,                 2.0555,                   1.69,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.0044,                 2.1862,                  1.713,                0.45449,                0.38623,                 0.3615,                0.15894,                 1.9236,                 1.9384,                 1.6432,               0.001151,               0.001151,               0.001151
                      6,                 1.9662,                 2.0968,                 1.6768,                0.43653,                0.40481,                 0.3638,                0.15505,                 1.9616,                 1.9555,                 1.6796,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.9351,                 2.0545,                  1.648,                0.39057,                0.41036,                 0.3613,                0.16066,                 1.8632,                 1.8931,                 1.6004,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8984,                 1.9693,                 1.6188,                0.44595,                0.41572,                0.38732,                0.17773,                 1.8653,                 1.8639,                 1.5992,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.8762,                 1.9211,                 1.6061,                0.64277,                0.38375,                0.42721,                0.19541,                 1.8378,                 1.8113,                 1.5626,               0.001052,               0.001052,               0.001052
                     10,                 1.8616,                 1.8741,                  1.597,                0.43451,                0.44485,                 0.4088,                 0.1839,                 1.8978,                 1.7993,                 1.6053,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.8278,                 1.8505,                 1.5842,                0.43313,                0.47124,                0.45068,                0.20851,                 1.8373,                 1.7101,                 1.5835,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.8109,                 1.7779,                 1.5575,                0.45097,                0.47847,                0.45165,                0.21303,                 1.8014,                 1.7166,                 1.5595,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.8036,                 1.7494,                 1.5507,                0.44952,                0.47433,                0.46826,                0.21109,                 1.8122,                 1.6938,                 1.5564,               0.000953,               0.000953,               0.000953
                     14,                 1.7849,                 1.7233,                 1.5409,                0.50207,                0.49137,                0.47916,                0.21828,                 1.8195,                 1.6682,                 1.5721,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.7655,                 1.6737,                 1.5305,                0.51644,                0.46643,                0.49825,                0.22977,                 1.7902,                 1.6682,                 1.5284,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.7492,                 1.6448,                   1.51,                0.54534,                0.50742,                0.49547,                0.22702,                 1.8181,                 1.6177,                 1.5359,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.7358,                 1.6064,                 1.4984,                0.54224,                0.51757,                0.51752,                0.23596,                 1.8371,                 1.5581,                 1.5548,               0.000854,               0.000854,               0.000854
                     18,                 1.7356,                 1.5957,                 1.4905,                0.47706,                0.53437,                0.50449,                0.23377,                  1.808,                 1.6094,                 1.5258,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.7053,                 1.5656,                 1.4716,                0.51696,                0.49739,                0.50567,                0.23183,                  1.806,                 1.5854,                 1.5302,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.6925,                 1.5221,                 1.4659,                0.53263,                0.52385,                0.52889,                0.25059,                 1.8008,                 1.5725,                 1.5381,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.6944,                 1.5026,                 1.4706,                0.51672,                0.53462,                 0.5311,                0.24962,                 1.7828,                 1.5371,                 1.5116,               0.000755,               0.000755,               0.000755
                     22,                 1.6604,                 1.4658,                 1.4434,                0.57679,                0.53263,                0.55159,                0.26037,                  1.787,                 1.5294,                 1.5126,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.6528,                 1.4317,                 1.4368,                0.53754,                0.54754,                0.55178,                0.25871,                  1.797,                 1.5267,                 1.5276,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.6455,                 1.4257,                 1.4268,                0.54713,                0.55629,                0.55577,                0.25918,                 1.7813,                 1.4689,                 1.5069,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.6249,                 1.3769,                 1.4175,                0.54158,                0.54818,                0.55653,                0.25876,                 1.7936,                 1.4998,                 1.5281,               0.000656,               0.000656,               0.000656
                     26,                 1.6102,                 1.3476,                 1.4038,                0.54544,                0.56994,                0.56968,                0.27227,                 1.7459,                 1.4529,                 1.4914,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.6046,                 1.3345,                 1.3992,                0.60811,                0.54612,                0.59094,                0.27928,                 1.7727,                 1.4271,                 1.4897,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.5979,                 1.3142,                 1.3985,                0.59425,                0.54238,                0.58982,                0.27636,                 1.7893,                 1.4594,                 1.5233,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.5695,                  1.274,                 1.3771,                0.57245,                0.58837,                 0.6081,                0.28778,                 1.7727,                 1.4047,                 1.4984,               0.000557,               0.000557,               0.000557
                     30,                 1.5577,                 1.2573,                  1.368,                0.58007,                0.58593,                0.59989,                0.28828,                 1.7776,                 1.3746,                 1.4837,             0.00053225,             0.00053225,             0.00053225
                     31,                   1.55,                 1.2334,                 1.3572,                0.55661,                0.61075,                0.60734,                0.28977,                 1.7837,                 1.3925,                 1.4818,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.5373,                 1.2181,                   1.35,                0.60695,                0.57005,                 0.6019,                0.29386,                 1.7828,                 1.3881,                  1.487,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.5186,                 1.1905,                 1.3389,                0.57415,                0.58922,                0.61025,                0.30076,                 1.7733,                 1.3771,                 1.4869,               0.000458,               0.000458,               0.000458
                     34,                 1.4969,                 1.1582,                 1.3205,                0.61826,                0.59468,                0.62455,                0.29837,                 1.7759,                 1.3445,                 1.5003,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.4985,                 1.1456,                 1.3179,                0.59071,                  0.601,                0.61283,                0.28805,                 1.8066,                 1.3686,                 1.5138,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.4823,                 1.1215,                  1.303,                0.60596,                0.58728,                0.62377,                0.29389,                 1.7909,                 1.3716,                 1.5128,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.4708,                 1.1049,                 1.2938,                0.61477,                0.58324,                0.61598,                0.29962,                 1.7768,                 1.3671,                 1.4943,               0.000359,               0.000359,               0.000359
                     38,                 1.4538,                  1.096,                 1.2896,                0.59666,                0.60988,                0.62889,                0.30418,                 1.7869,                 1.3331,                 1.4981,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.4406,                 1.0628,                 1.2797,                0.64648,                0.60223,                0.63027,                0.30586,                 1.7916,                  1.344,                 1.5242,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.4273,                 1.0556,                 1.2736,                0.63968,                0.60881,                0.64618,                0.30907,                 1.8069,                 1.3235,                 1.5146,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.3928,                0.96666,                 1.2603,                0.65085,                0.62266,                0.65024,                0.31281,                 1.7978,                 1.3108,                 1.5114,                0.00026,                0.00026,                0.00026
                     42,                  1.352,                0.90772,                 1.2425,                0.65141,                0.63123,                0.65219,                0.31213,                 1.7743,                 1.3052,                 1.4981,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.3447,                0.88967,                  1.235,                0.67853,                0.59394,                0.65367,                0.31513,                 1.7996,                  1.309,                 1.5091,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.3148,                0.87122,                  1.225,                0.68296,                0.59934,                0.65369,                0.31138,                 1.8141,                 1.3152,                 1.5454,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.3058,                0.85654,                 1.2148,                0.70155,                0.61254,                0.65982,                  0.315,                 1.7934,                 1.2928,                 1.5228,               0.000161,               0.000161,               0.000161
                     46,                 1.2906,                0.83329,                 1.2029,                0.69078,                0.62138,                0.66253,                0.31514,                 1.8144,                 1.2844,                 1.5503,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.2691,                0.81596,                 1.1941,                0.69645,                0.62242,                0.66367,                0.31325,                 1.8145,                 1.2891,                 1.5499,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.2558,                0.80999,                 1.1901,                0.68907,                0.60011,                0.64952,                0.31301,                 1.7981,                 1.3021,                 1.5317,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.2509,                0.79752,                 1.1824,                0.67686,                0.60978,                0.65529,                0.31291,                 1.8157,                  1.306,                 1.5463,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.2401,                0.79015,                 1.1765,                0.62845,                0.64367,                0.65446,                0.31245,                 1.8166,                 1.3032,                 1.5471,              3.725e-05,              3.725e-05,              3.725e-05
