                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.1249,5.3503,1.7127,0.27711,0.26051,0.18484,0.07048,2.182,3.0666,1.8063,0.00041541,0.00041541,0.00041541
1,2.1249,5.3503,1.7127,0.27711,0.26051,0.18484,0.07048,2.182,3.0666,1.8063,0.00041541,0.00041541,0.00041541
2,2.0923,3.4946,1.6947,0.33938,0.32425,0.2523,0.10154,2.1183,2.2659,1.7659,0.0008156,0.0008156,0.0008156
3,2.0866,2.7621,1.7252,0.29555,0.319,0.22638,0.09225,2.0731,2.8911,1.7763,0.0011993,0.0011993,0.0011993
4,2.0352,2.4237,1.687,0.35342,0.34034,0.28988,0.12338,2.0094,2.1674,1.7342,0.0011757,0.0011757,0.0011757
5,1.9975,2.2763,1.6713,0.5944,0.29675,0.29282,0.12569,1.9735,2.1925,1.7161,0.001151,0.001151,0.001151
6,1.9656,2.1765,1.6411,0.45101,0.31378,0.32362,0.14258,1.9508,2.059,1.6836,0.0011263,0.0011263,0.0011263
7,1.9307,2.0749,1.6214,0.43179,0.37279,0.33983,0.14873,1.9509,2.0541,1.663,0.0011015,0.0011015,0.0011015
8,1.9222,2.0313,1.6136,0.3816,0.32862,0.39408,0.17267,1.9272,1.9387,1.6473,0.0010768,0.0010768,0.0010768
9,1.8921,1.9699,1.5853,0.43575,0.38051,0.37053,0.15949,1.9099,1.9114,1.6362,0.001052,0.001052,0.001052
10,1.8735,1.9254,1.5784,0.43364,0.3284,0.38733,0.17316,1.8645,1.8922,1.5939,0.0010273,0.0010273,0.0010273
11,1.8619,1.8861,1.5697,0.43892,0.39676,0.37685,0.17183,1.9226,1.8921,1.624,0.0010025,0.0010025,0.0010025
12,1.8472,1.8649,1.5569,0.45681,0.43122,0.40806,0.18236,1.888,1.8446,1.5926,0.00097775,0.00097775,0.00097775
13,1.829,1.7998,1.5408,0.45067,0.44536,0.39252,0.17952,1.8755,1.8324,1.5948,0.000953,0.000953,0.000953
14,1.8057,1.7655,1.523,0.47191,0.38514,0.3912,0.17308,1.8882,1.8037,1.631,0.00092825,0.00092825,0.00092825
15,1.7857,1.7494,1.5089,0.44047,0.47318,0.45491,0.20618,1.8121,1.7461,1.5414,0.0009035,0.0009035,0.0009035
16,1.7845,1.7236,1.5153,0.51409,0.4359,0.42696,0.19012,1.8549,1.7961,1.5586,0.00087875,0.00087875,0.00087875
