                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.181,                 5.4256,                 1.7477,                0.23947,                 0.2319,                 0.1718,                 0.0691,                 2.2038,                 2.7952,                 1.8274,             0.00041604,             0.00041604,             0.00041604
                      2,                 2.1432,                 3.4841,                 1.7462,                0.27355,                0.26789,                0.19301,                0.07741,                 2.1309,                 2.4725,                 1.8018,             0.00081622,             0.00081622,             0.00081622
                      3,                 2.1429,                 2.8068,                 1.7417,                0.28167,                0.33352,                0.22431,                0.09129,                 2.1078,                 2.5492,                 1.7229,              0.0011999,              0.0011999,              0.0011999
                      4,                 2.1102,                 2.5303,                 1.7296,                0.31291,                0.32527,                0.25591,                0.10075,                 2.0596,                 2.3914,                 1.7002,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.0439,                 2.3532,                 1.6864,                0.30702,                0.29078,                0.26333,                0.11237,                 2.0401,                 2.1605,                 1.7013,               0.001151,               0.001151,               0.001151
                      6,                 2.0273,                 2.2478,                 1.6773,                0.33557,                0.33709,                0.29421,                0.13049,                 1.9308,                  2.041,                 1.6212,              0.0011263,              0.0011263,              0.0011263
                      7,                 2.0003,                 2.2107,                 1.6566,                0.36025,                0.35054,                0.30278,                0.12889,                 1.9908,                 2.0715,                 1.6388,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.9766,                 2.1696,                 1.6522,                 0.3495,                0.37806,                0.32583,                0.14249,                 1.9413,                 2.0356,                 1.6209,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.9362,                 2.0772,                 1.6353,                0.44832,                 0.4044,                0.38441,                0.17455,                  1.911,                 1.9404,                 1.6265,               0.001052,               0.001052,               0.001052
                     10,                 1.9264,                   2.07,                 1.6162,                0.56735,                0.32311,                0.34548,                0.15195,                 1.9199,                 1.9758,                 1.6336,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.8864,                 2.0063,                 1.5955,                0.40755,                0.43832,                0.36237,                0.15977,                 1.8953,                 1.9386,                 1.6165,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.8895,                 1.9772,                 1.5807,                0.44405,                  0.381,                0.37843,                0.16401,                 1.9278,                 1.8858,                 1.6565,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.8846,                 1.9448,                 1.5996,                0.46084,                0.37381,                0.40307,                0.18341,                 1.8565,                 1.8446,                 1.5679,               0.000953,               0.000953,               0.000953
                     14,                 1.8537,                  1.914,                 1.5715,                0.38358,                0.44648,                0.39462,                0.17505,                 1.8598,                 1.8355,                 1.6028,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.8235,                 1.8425,                 1.5436,                0.38417,                0.45155,                0.39651,                0.17388,                 1.9384,                 1.8202,                 1.6271,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.8224,                 1.8356,                  1.535,                0.38708,                   0.47,                0.39874,                0.18142,                 1.8559,                 1.7874,                 1.5794,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.7979,                 1.7787,                 1.5241,                0.45329,                0.43363,                0.40587,                0.18624,                 1.8383,                 1.7865,                 1.5635,               0.000854,               0.000854,               0.000854
                     18,                  1.792,                 1.7526,                 1.5179,                0.43884,                0.45318,                0.43878,                0.20497,                 1.8223,                 1.7086,                 1.5593,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.7842,                 1.7564,                 1.5106,                 0.4235,                0.49544,                0.44995,                0.20388,                 1.8294,                 1.6811,                 1.5593,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.7774,                 1.7191,                 1.5163,                0.49031,                0.44704,                 0.4651,                0.21126,                 1.8083,                 1.7021,                 1.5288,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.7608,                 1.7011,                 1.5041,                0.46699,                0.47069,                0.46442,                0.22029,                 1.7744,                  1.678,                 1.5178,               0.000755,               0.000755,               0.000755
                     22,                 1.7501,                 1.6815,                 1.4888,                 0.4875,                0.48128,                0.45267,                0.20449,                 1.8072,                 1.7391,                 1.5411,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.7292,                 1.6572,                 1.4788,                 0.5164,                0.48382,                0.47895,                0.21182,                  1.798,                 1.6555,                 1.5142,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.7148,                 1.6198,                 1.4685,                0.50133,                0.49775,                0.49099,                  0.224,                 1.7941,                 1.6112,                 1.5383,             0.00068075,             0.00068075,             0.00068075
                     25,                  1.707,                  1.594,                 1.4606,                0.51974,                0.50819,                0.49034,                0.22668,                 1.7889,                 1.6304,                 1.5297,               0.000656,               0.000656,               0.000656
                     26,                 1.7172,                 1.5989,                 1.4728,                0.57958,                 0.4806,                0.49896,                0.22649,                 1.7959,                 1.6233,                 1.5167,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.6889,                 1.5701,                 1.4487,                0.52932,                0.49725,                0.51423,                0.24053,                 1.7805,                 1.5709,                 1.5151,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.6876,                 1.5303,                 1.4387,                0.53435,                 0.5051,                0.51433,                0.24265,                 1.7614,                 1.5886,                 1.4926,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.6735,                  1.512,                 1.4261,                0.57098,                 0.5165,                0.52514,                 0.2453,                 1.7666,                 1.5755,                 1.4972,               0.000557,               0.000557,               0.000557
                     30,                 1.6535,                 1.4948,                 1.4217,                0.54424,                0.50094,                0.52451,                0.24238,                 1.7809,                 1.5371,                 1.5098,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.6516,                 1.4716,                 1.4144,                0.50863,                 0.5436,                0.53727,                0.24366,                 1.8227,                 1.5301,                 1.5055,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.6376,                 1.4509,                 1.4038,                0.55781,                0.50413,                0.52544,                0.24629,                  1.787,                 1.5337,                 1.5186,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.6194,                 1.4249,                 1.3905,                0.55002,                0.52619,                0.54442,                0.25275,                 1.7627,                 1.4953,                 1.4935,               0.000458,               0.000458,               0.000458
                     34,                  1.624,                 1.4154,                 1.4044,                0.60665,                0.52957,                0.57191,                0.26286,                 1.7561,                 1.4683,                 1.4909,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.5912,                  1.364,                 1.3791,                0.56044,                0.56232,                0.56265,                0.25906,                 1.7693,                 1.4733,                 1.5065,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.5922,                 1.3582,                 1.3708,                0.54544,                0.55899,                0.55194,                 0.2633,                 1.7523,                 1.4784,                 1.4871,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.5866,                 1.3454,                 1.3794,                0.52925,                0.56531,                0.56386,                0.26641,                 1.7394,                 1.4744,                 1.4842,               0.000359,               0.000359,               0.000359
                     38,                 1.5629,                 1.3138,                 1.3522,                0.54311,                0.59261,                0.58579,                0.27325,                 1.7668,                 1.4413,                 1.4721,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.5575,                 1.3076,                 1.3497,                  0.552,                0.53246,                0.56137,                0.26544,                 1.7683,                 1.4626,                 1.4982,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.5448,                  1.295,                 1.3399,                0.58778,                0.59134,                0.59217,                0.28797,                 1.7482,                 1.4081,                 1.4629,             0.00028475,             0.00028475,             0.00028475
                     41,                  1.535,                 1.2021,                 1.3501,                0.57802,                0.55385,                0.59116,                0.28049,                  1.738,                 1.4424,                 1.4646,                0.00026,                0.00026,                0.00026
                     42,                 1.4929,                 1.1642,                 1.3276,                0.58392,                0.55072,                0.59477,                 0.2888,                 1.7333,                 1.4167,                 1.4584,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.4815,                  1.117,                 1.3123,                0.55976,                0.59247,                0.58138,                0.28449,                 1.7367,                 1.4265,                 1.4681,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.4767,                 1.1374,                 1.3123,                0.62638,                0.55119,                0.59737,                0.28678,                 1.7472,                 1.4071,                 1.4662,             0.00018575,             0.00018575,             0.00018575
                     45,                  1.447,                  1.089,                 1.2985,                0.58412,                0.57281,                0.60016,                0.28821,                 1.7622,                 1.4003,                 1.4706,               0.000161,               0.000161,               0.000161
                     46,                 1.4438,                 1.0714,                 1.2878,                 0.5884,                0.59245,                0.59815,                0.28509,                 1.7525,                 1.4209,                 1.4725,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.4319,                 1.0608,                 1.2878,                0.62825,                0.54759,                0.60295,                0.29512,                 1.7429,                 1.4024,                 1.4627,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.4066,                 1.0329,                 1.2782,                0.56766,                0.60339,                0.60611,                0.29635,                 1.7407,                 1.3998,                 1.4633,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.4031,                 1.0279,                 1.2744,                0.61859,                0.57448,                0.60683,                 0.2987,                 1.7477,                  1.384,                 1.4681,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.3829,                  1.012,                 1.2647,                0.60313,                0.59594,                0.60842,                0.29664,                 1.7489,                 1.3907,                 1.4707,              3.725e-05,              3.725e-05,              3.725e-05
