                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1795,                 5.3984,                 1.7383,                0.23028,                0.22898,                0.15892,                0.06149,                 2.2401,                 2.8728,                 1.8505,             0.00041604,             0.00041604,             0.00041604
                      2,                 2.1395,                 3.4855,                 1.7595,                0.24538,                0.24925,                0.20667,                0.08093,                 2.0956,                 2.3496,                 1.8043,             0.00082446,             0.00082446,             0.00082446
                      3,                 2.1328,                 2.7982,                 1.7666,                0.28044,                 0.2997,                0.24794,                0.10054,                 2.1062,                 2.3155,                 1.7486,              0.0012246,              0.0012246,              0.0012246
                      4,                 2.1081,                 2.5234,                 1.7617,                 0.5575,                0.23861,                0.22987,                0.10076,                 2.0604,                 2.2433,                 1.7447,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0448,                 2.3636,                 1.7279,                0.30449,                0.31429,                0.26016,                0.11152,                 2.0149,                 2.2151,                 1.7337,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.0338,                 2.2649,                 1.6925,                0.37077,                0.35601,                0.29621,                 0.1302,                 1.9957,                 2.0667,                 1.6952,              0.0011881,              0.0011881,              0.0011881
                      7,                  2.003,                 2.2043,                 1.6901,                0.38544,                 0.3518,                  0.302,                0.12695,                   1.97,                  2.082,                 1.6651,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9775,                 2.1794,                 1.6713,                0.32579,                0.36458,                0.29582,                0.12608,                 1.9995,                 2.0692,                 1.6937,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9602,                 2.1103,                 1.6604,                0.42317,                0.37243,                0.36885,                0.16193,                 1.9647,                 1.9631,                 1.6779,               0.001151,               0.001151,               0.001151
                     10,                 1.9396,                 2.0657,                 1.6418,                 0.3982,                0.35397,                  0.338,                0.15042,                  1.937,                 1.9905,                 1.6661,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.9151,                 2.0277,                 1.6238,                0.51676,                0.32717,                0.37482,                0.16522,                  1.924,                 1.8962,                 1.6238,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.9026,                 2.0046,                 1.6011,                0.44534,                0.40592,                0.36912,                0.15936,                 1.9214,                 1.9579,                 1.6166,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8917,                 1.9567,                 1.6031,                0.47267,                0.38734,                0.37502,                0.16481,                  1.868,                   1.89,                 1.6125,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8811,                 1.9657,                 1.6039,                0.52215,                0.37135,                0.35011,                 0.1597,                 1.8935,                 1.9699,                 1.6356,              0.0010891,              0.0010891,              0.0010891
                     15,                  1.854,                 1.9055,                 1.5697,                0.35717,                0.37005,                0.38365,                0.17048,                 1.8923,                  1.865,                 1.6358,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.8466,                 1.8867,                 1.5717,                0.44518,                0.40378,                 0.3902,                0.17646,                 1.8971,                 1.8489,                 1.6254,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.8368,                 1.8299,                 1.5598,                0.42644,                0.46155,                0.40608,                0.18896,                 1.8754,                 1.7919,                 1.6057,               0.001052,               0.001052,               0.001052
                     18,                 1.8195,                  1.823,                 1.5421,                0.46081,                0.44999,                0.44325,                 0.2017,                 1.8522,                 1.7467,                 1.5916,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8208,                 1.7998,                 1.5459,                0.46871,                 0.3919,                0.41993,                0.19409,                 1.8597,                 1.7624,                 1.5616,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8146,                 1.7746,                 1.5449,                0.49688,                0.45056,                 0.4545,                0.20736,                  1.826,                 1.7366,                 1.5559,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7946,                 1.7609,                 1.5411,                  0.483,                 0.4267,                0.44314,                0.19783,                 1.8383,                 1.7451,                 1.5692,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7746,                 1.7288,                 1.5174,                0.48347,                0.48141,                0.47481,                  0.209,                  1.851,                 1.7116,                  1.574,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.7625,                 1.6948,                 1.5111,                0.47385,                 0.4695,                0.45691,                0.20303,                 1.8214,                 1.7004,                 1.5545,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.7703,                 1.6958,                 1.5126,                0.50217,                0.47277,                0.46011,                0.21025,                 1.8388,                 1.7032,                 1.5781,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.7564,                  1.671,                 1.5069,                0.50457,                0.46351,                0.45223,                0.21233,                 1.8597,                 1.7184,                 1.5686,               0.000953,               0.000953,               0.000953
                     26,                 1.7534,                 1.6547,                 1.5021,                0.53403,                0.45614,                0.46412,                0.21976,                 1.8202,                 1.6866,                 1.5599,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.7371,                 1.6469,                 1.4966,                0.53518,                 0.4476,                0.45193,                0.20407,                 1.8431,                 1.6868,                 1.5646,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.7436,                 1.6228,                 1.4853,                0.44838,                 0.5127,                0.48058,                0.23115,                 1.8054,                 1.6445,                 1.5319,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.7215,                 1.5857,                 1.4732,                0.50466,                0.51211,                0.51029,                0.22775,                 1.8193,                 1.6532,                 1.5412,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.7059,                 1.5905,                 1.4712,                0.56549,                0.48823,                0.50788,                0.23142,                 1.8049,                 1.6256,                 1.5481,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.7073,                 1.5598,                 1.4615,                0.51209,                0.53452,                 0.5205,                0.23379,                 1.8592,                 1.5858,                 1.5688,             0.00087875,             0.00087875,             0.00087875
                     32,                  1.715,                 1.5513,                 1.4626,                0.50058,                 0.4981,                0.51901,                0.23324,                 1.8391,                 1.6008,                 1.5549,             0.00086637,             0.00086637,             0.00086637
                     33,                  1.685,                 1.5334,                 1.4477,                0.50053,                0.51224,                 0.5094,                0.23957,                 1.8127,                 1.5429,                 1.5437,               0.000854,               0.000854,               0.000854
                     34,                 1.6888,                 1.5244,                 1.4606,                0.51719,                0.52602,                0.53594,                0.24661,                 1.8077,                 1.5618,                 1.5375,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.6643,                 1.4769,                  1.439,                0.50622,                0.54115,                0.53936,                0.24601,                 1.7995,                 1.5405,                 1.5378,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.6682,                 1.4747,                 1.4346,                0.54393,                0.56187,                0.54079,                0.25542,                 1.7996,                  1.512,                 1.5201,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.6524,                 1.4469,                 1.4316,                0.50999,                0.55226,                0.52863,                0.25081,                 1.7574,                 1.5327,                 1.5136,              0.0008045,              0.0008045,              0.0008045
