                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1366,                 6.2734,                 2.6124,                0.07913,                0.08782,                0.03298,                0.00975,                 2.6907,                 3.3907,                 2.3367,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.5857,                 3.5156,                 2.2104,                0.18152,                0.10704,                0.06938,                0.02487,                 2.4931,                 3.0543,                 2.1042,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.4226,                 3.0092,                 2.0792,                  0.251,                0.19632,                0.13205,                0.05078,                 2.3055,                  2.681,                 2.0451,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.3245,                  2.793,                 2.0149,                0.45035,                0.21858,                0.16734,                0.06471,                 2.2094,                 2.4914,                 1.9533,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2461,                  2.637,                 1.9468,                0.51202,                0.22234,                0.21408,                0.08708,                 2.1714,                 2.3298,                 1.8637,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.1882,                 2.5118,                 1.8787,                0.54346,                0.26245,                0.24967,                0.10442,                 2.1072,                 2.2898,                 1.8228,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.1348,                 2.4587,                 1.8477,                0.34837,                0.26338,                0.26028,                0.10995,                 2.0532,                 2.2125,                 1.7648,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.0903,                 2.3637,                 1.8055,                0.28521,                0.29607,                0.26475,                0.10876,                 2.0445,                 2.1861,                 1.7557,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.0716,                 2.3218,                 1.7987,                0.35971,                0.32534,                 0.3085,                0.12702,                 1.9988,                 2.1145,                 1.7275,               0.001151,               0.001151,               0.001151
                     10,                 2.0473,                 2.2388,                 1.7764,                0.36414,                0.33339,                0.32247,                0.13213,                 1.9765,                 2.0858,                 1.7218,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.0126,                 2.2018,                  1.762,                 0.4213,                0.34741,                0.33009,                 0.1412,                 1.9683,                  2.052,                 1.7039,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.9988,                 2.1635,                 1.7434,                0.39461,                0.37275,                0.35231,                0.15886,                 1.9563,                 2.0046,                 1.6865,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.9787,                 2.1233,                 1.7254,                0.40667,                0.32748,                0.33862,                0.14742,                 1.9281,                 2.0316,                 1.6832,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.9645,                 2.0882,                 1.7124,                0.37518,                0.38684,                0.34584,                0.16111,                 1.9117,                 1.9577,                 1.6603,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.9461,                 2.0424,                 1.7023,                0.62082,                0.33505,                0.36776,                0.16743,                 1.8683,                 1.9793,                 1.6365,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.924,                 2.0128,                 1.6851,                0.36621,                0.42904,                0.37647,                0.16068,                 1.9386,                 1.9229,                 1.6737,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.9177,                 1.9788,                 1.6741,                 0.4181,                0.42818,                0.37956,                 0.1778,                 1.9328,                 1.8601,                 1.6436,               0.001052,               0.001052,               0.001052
                     18,                 1.9086,                 1.9596,                 1.6639,                0.40347,                0.43873,                0.40817,                0.18305,                 1.9118,                 1.8422,                 1.6369,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8813,                 1.9238,                 1.6507,                0.38554,                0.46872,                0.40727,                0.17703,                  1.917,                 1.8481,                 1.6411,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8767,                 1.9001,                 1.6402,                0.39444,                0.43956,                0.39128,                0.17759,                  1.885,                 1.8499,                 1.6207,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.8554,                 1.8756,                 1.6268,                0.45618,                0.42181,                0.41434,                0.19472,                 1.8554,                  1.822,                  1.614,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.853,                 1.8458,                 1.6282,                0.43947,                0.44854,                0.43026,                 0.1998,                  1.841,                 1.7787,                 1.6187,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.8532,                 1.8446,                 1.6301,                0.44479,                0.45588,                0.43469,                0.19297,                  1.882,                  1.799,                 1.6189,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.8331,                 1.8131,                   1.61,                0.45446,                0.46077,                0.45355,                0.20047,                 1.8674,                 1.7458,                 1.6184,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.8131,                 1.7696,                 1.5998,                0.42714,                0.48091,                0.43575,                0.19982,                 1.8399,                 1.7594,                 1.5988,               0.000953,               0.000953,               0.000953
                     26,                 1.7998,                 1.7548,                 1.5942,                0.42758,                0.48519,                0.45564,                0.20841,                 1.8453,                 1.7147,                 1.5968,             0.00094062,             0.00094062,             0.00094062
