                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2004,                 4.8307,                   1.88,                0.28761,                0.21886,                0.18093,                0.06857,                 2.1507,                 2.5296,                 1.8221,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1385,                 2.8138,                 1.8543,                0.27466,                0.26572,                0.21874,                0.09099,                 2.1212,                 2.3668,                 1.8853,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.1036,                  2.455,                 1.8149,                0.48677,                0.28792,                0.26101,                0.10577,                 2.0702,                  2.253,                 1.8293,              0.0012249,              0.0012249,              0.0012249
                      4,                  2.062,                  2.349,                 1.8044,                0.54676,                0.30527,                0.28589,                 0.1118,                 2.0481,                 2.2119,                 1.8044,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0316,                 2.2504,                 1.7734,                0.39491,                0.35251,                0.32477,                0.13434,                 1.9829,                 2.0499,                 1.7052,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9836,                 2.1587,                 1.7427,                0.39173,                0.41647,                0.37674,                0.15992,                 1.9631,                 1.9434,                 1.7255,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9401,                 2.0831,                 1.7102,                0.45067,                0.36222,                0.35972,                 0.1518,                  1.922,                 1.9304,                 1.6926,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9342,                 2.0369,                 1.6862,                0.41247,                0.41248,                0.38524,                0.17203,                 1.8724,                 1.9321,                 1.6703,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9037,                 1.9839,                  1.679,                0.47049,                0.43059,                0.40909,                0.18419,                 1.8575,                 1.8039,                 1.6305,               0.001151,               0.001151,               0.001151
                     10,                 1.8857,                 1.9387,                 1.6601,                0.45667,                0.41193,                0.41282,                0.18057,                 1.8889,                 1.8308,                 1.6507,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8649,                 1.8914,                  1.649,                0.47634,                0.42412,                0.42291,                0.18415,                 1.8804,                 1.8004,                 1.6434,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8562,                 1.8492,                 1.6434,                0.41653,                0.44276,                 0.4114,                0.18954,                 1.8246,                 1.7577,                 1.6115,              0.0011139,              0.0011139,              0.0011139
