                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1348,                 6.2512,                 2.6003,                 0.3348,                0.06464,                0.03531,                0.00995,                 2.7311,                 3.3486,                 2.3836,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.5721,                 3.4922,                  2.197,                0.15278,                0.14705,                0.08079,                0.02663,                 2.5086,                  2.818,                 2.1602,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.4193,                 2.9904,                 2.0666,                0.42286,                0.17036,                0.12508,                0.04813,                 2.3221,                 2.6566,                 2.0729,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.3142,                 2.7909,                 1.9916,                0.48044,                0.18753,                0.18129,                0.07229,                 2.1851,                 2.5654,                  1.918,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2439,                 2.6513,                 1.9183,                0.27314,                0.30538,                0.21567,                0.08711,                 2.1122,                 2.3744,                  1.806,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.1816,                  2.508,                 1.8537,                0.26043,                0.31268,                0.22709,                0.09018,                 2.1358,                 2.3361,                 1.8262,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.1204,                 2.4379,                 1.8192,                0.33781,                 0.2589,                0.24106,                0.10131,                   2.05,                 2.3034,                 1.7772,              0.0011757,              0.0011757,              0.0011757
                      8,                  2.105,                 2.3805,                  1.804,                0.36849,                0.31455,                0.28932,                0.12492,                 2.0194,                 2.1757,                 1.7357,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.0623,                 2.3186,                 1.7841,                0.26855,                0.30867,                0.27816,                0.12077,                 2.0241,                 2.1492,                 1.7393,               0.001151,               0.001151,               0.001151
                     10,                  2.044,                 2.2398,                 1.7642,                0.38324,                0.32582,                0.29996,                0.13525,                 1.9524,                   2.09,                 1.6769,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.0163,                 2.2171,                 1.7477,                0.37142,                0.30635,                0.31864,                0.13978,                 1.9648,                 2.0608,                 1.7079,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.0072,                 2.1618,                 1.7288,                0.43203,                0.37184,                0.32825,                0.14776,                 1.9451,                 2.0207,                  1.692,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.9835,                 2.1191,                 1.7094,                0.42227,                0.31648,                0.33531,                0.14662,                 1.9288,                 2.0331,                 1.6586,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.9692,                 2.0995,                 1.7016,                 0.3499,                0.36103,                0.31775,                0.14389,                 1.9319,                 2.0397,                 1.6462,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.9512,                 2.0509,                  1.694,                0.65247,                0.33196,                0.36366,                0.17022,                 1.8894,                 1.9432,                 1.6306,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.931,                  2.028,                 1.6725,                0.36456,                0.34938,                0.36618,                0.16471,                 1.9148,                  1.913,                 1.6547,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.9162,                 1.9827,                   1.66,                0.41792,                0.42819,                 0.4012,                 0.1851,                  1.942,                 1.8547,                 1.6484,               0.001052,               0.001052,               0.001052
                     18,                 1.9065,                 1.9609,                 1.6543,                0.40551,                0.41615,                0.37883,                 0.1689,                 1.9055,                 1.8714,                 1.6225,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8797,                 1.9244,                 1.6425,                0.37508,                 0.4452,                0.38199,                0.17336,                 1.9174,                 1.8656,                 1.6379,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8763,                 1.9154,                 1.6363,                0.47204,                0.41936,                0.40111,                0.18549,                 1.8893,                 1.8429,                 1.6186,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.8565,                 1.8823,                 1.6176,                0.42378,                0.40237,                0.40483,                 0.1842,                 1.8657,                 1.8253,                 1.5839,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.8497,                 1.8478,                 1.6132,                0.49614,                 0.4204,                0.41765,                  0.195,                 1.8728,                 1.7741,                  1.627,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.8463,                 1.8313,                 1.6072,                0.45212,                0.44642,                0.42162,                0.19713,                 1.8643,                 1.7849,                 1.5812,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.8332,                 1.8035,                 1.5918,                0.47982,                0.43985,                0.43549,                 0.1997,                 1.8644,                 1.7716,                  1.598,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.8097,                 1.7676,                 1.5889,                  0.469,                0.42645,                 0.4227,                0.19961,                 1.8436,                 1.7477,                 1.5724,               0.000953,               0.000953,               0.000953
                     26,                 1.8006,                 1.7551,                 1.5779,                0.41944,                0.45338,                0.42733,                0.20422,                 1.8241,                 1.7889,                 1.5664,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.7918,                 1.7393,                 1.5694,                0.48801,                0.47288,                0.46007,                0.21743,                  1.817,                 1.7085,                 1.5741,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.7951,                  1.712,                 1.5733,                 0.4788,                0.46341,                0.45549,                0.21108,                 1.8413,                 1.7233,                 1.5855,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.7799,                 1.7057,                 1.5655,                0.50137,                0.47431,                0.47586,                0.21849,                 1.8207,                 1.6854,                 1.5695,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.7611,                 1.6636,                 1.5396,                0.50156,                0.46639,                0.47587,                0.22464,                 1.8631,                 1.6811,                 1.5954,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.7576,                 1.6483,                 1.5362,                0.53711,                0.49533,                0.50054,                0.23418,                 1.8592,                 1.6113,                 1.5793,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.7441,                 1.6213,                 1.5302,                0.50354,                0.48144,                0.47815,                0.22907,                 1.8272,                  1.621,                 1.5733,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.7373,                  1.598,                  1.526,                0.48908,                0.51295,                0.49838,                 0.2337,                  1.839,                 1.6128,                 1.5747,               0.000854,               0.000854,               0.000854
                     34,                 1.7276,                 1.5932,                 1.5152,                0.50238,                0.51036,                0.50812,                0.23991,                 1.8457,                 1.6102,                  1.583,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.7205,                 1.5741,                 1.5108,                 0.4946,                0.54007,                0.52296,                 0.2458,                 1.8416,                 1.5837,                 1.5681,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.7201,                 1.5514,                 1.5003,                 0.5165,                 0.5367,                0.52541,                0.24747,                 1.8439,                 1.5826,                 1.5872,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.7022,                 1.5148,                 1.4892,                 0.5077,                0.52767,                0.51428,                0.24241,                 1.8137,                 1.5745,                 1.5622,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.6906,                 1.5209,                 1.4822,                0.56082,                0.51929,                0.53212,                0.24976,                 1.8145,                 1.5429,                 1.5421,             0.00079213,             0.00079213,             0.00079213
                     39,                   1.69,                 1.4968,                 1.4808,                0.50766,                 0.5308,                0.52793,                0.24711,                 1.8356,                  1.594,                 1.5543,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.6837,                 1.4872,                 1.4793,                0.51317,                0.53244,                0.54635,                0.26063,                  1.813,                 1.5446,                 1.5466,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.6688,                 1.4703,                 1.4681,                0.52488,                 0.5173,                0.53416,                0.26226,                  1.827,                 1.5466,                 1.5564,               0.000755,               0.000755,               0.000755
                     42,                 1.6618,                 1.4435,                 1.4644,                0.55988,                0.51136,                0.53952,                0.25907,                 1.8119,                 1.5229,                  1.545,             0.00074263,             0.00074263,             0.00074263
