                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1953,                 4.8163,                 1.9038,                0.27097,                 0.2801,                0.19584,                0.07827,                  2.146,                 2.5187,                 1.9582,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1462,                 2.8294,                  1.878,                0.25305,                0.29929,                0.20387,                0.08412,                 2.1074,                 2.3122,                 1.8776,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.1122,                 2.4666,                 1.8579,                0.54442,                0.30053,                0.25678,                0.10562,                 2.0442,                 2.2389,                 1.8723,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.0584,                 2.3409,                 1.8389,                0.44124,                0.32328,                0.30283,                0.13089,                 1.9282,                 2.1351,                 1.7626,              0.0012129,              0.0012129,              0.0012129
                      5,                  2.025,                 2.2454,                 1.7907,                0.38202,                0.35824,                0.31823,                0.14192,                 1.9371,                 2.0634,                 1.7208,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9865,                 2.1769,                 1.7753,                0.41313,                0.35887,                0.33232,                0.14266,                 1.9642,                 2.0822,                  1.737,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9518,                 2.1009,                 1.7443,                 0.3565,                0.38822,                0.33655,                0.14756,                 1.8999,                 1.9575,                 1.7141,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9328,                 2.0546,                 1.7096,                0.42624,                0.40913,                0.37539,                0.16733,                 1.8682,                 1.9391,                 1.6731,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9055,                 1.9879,                 1.7063,                0.46128,                0.40327,                0.38278,                0.17033,                 1.8432,                 1.8987,                 1.6808,               0.001151,               0.001151,               0.001151
                     10,                  1.879,                 1.9317,                 1.6869,                0.51988,                0.40182,                0.41706,                 0.1823,                 1.9074,                 1.8406,                  1.684,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8579,                 1.8888,                 1.6691,                0.40466,                0.46287,                0.40554,                0.18813,                 1.8471,                 1.8437,                 1.6582,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8465,                 1.8436,                 1.6518,                0.49277,                0.43955,                0.43776,                0.20212,                 1.8551,                 1.7725,                 1.6637,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8349,                 1.8309,                 1.6473,                0.52072,                0.43448,                0.43548,                0.19524,                 1.8538,                 1.7746,                 1.6306,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8279,                  1.804,                 1.6334,                0.50316,                0.45091,                0.45497,                0.21315,                 1.8209,                 1.7366,                 1.6293,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.8022,                 1.7524,                 1.6087,                0.40111,                0.48698,                0.43662,                0.19752,                  1.827,                 1.7601,                 1.6235,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7925,                 1.7364,                 1.6058,                0.42387,                 0.5122,                0.47485,                0.21357,                 1.8416,                 1.6706,                 1.6454,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.7792,                 1.6917,                 1.5986,                0.48602,                0.47412,                0.47564,                 0.2155,                  1.863,                 1.6735,                 1.6296,               0.001052,               0.001052,               0.001052
                     18,                 1.7788,                 1.6793,                 1.5848,                0.47589,                0.49763,                 0.4609,                0.21079,                 1.8217,                 1.6834,                 1.6158,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7392,                 1.6516,                  1.563,                0.45641,                0.51962,                0.47314,                0.21635,                 1.8575,                 1.6944,                 1.6363,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.7438,                 1.6194,                 1.5656,                0.50705,                 0.4955,                0.49072,                0.22762,                 1.8133,                 1.6465,                 1.5913,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7394,                 1.6136,                 1.5532,                0.47727,                0.52196,                0.48046,                0.22135,                 1.8332,                 1.6479,                 1.6117,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7165,                 1.5621,                 1.5361,                0.48813,                0.51696,                0.49642,                0.23914,                 1.8216,                    1.6,                 1.5974,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.7162,                 1.5657,                 1.5408,                 0.5263,                0.54131,                0.53303,                0.24712,                 1.8265,                 1.5822,                  1.599,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.707,                  1.546,                 1.5295,                0.50201,                 0.5494,                0.53393,                0.24693,                 1.8286,                 1.5391,                 1.5971,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6936,                 1.5009,                 1.5266,                0.49786,                0.54462,                 0.5237,                0.24629,                 1.8307,                 1.5493,                 1.6153,               0.000953,               0.000953,               0.000953
                     26,                 1.6763,                 1.4649,                 1.5104,                0.51403,                0.57187,                0.53642,                  0.243,                 1.7938,                 1.5357,                 1.5898,             0.00094062,             0.00094062,             0.00094062
                     27,                   1.67,                 1.4675,                 1.5025,                0.56002,                0.55303,                0.56196,                0.26231,                 1.7938,                 1.5084,                 1.5632,             0.00092825,             0.00092825,             0.00092825
                     28,                  1.664,                 1.4545,                 1.5009,                0.57974,                0.53199,                0.56294,                0.26346,                 1.8241,                 1.5274,                 1.5998,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.6475,                 1.4147,                 1.4917,                0.55798,                0.55383,                0.56435,                0.25503,                 1.8268,                 1.5335,                 1.6076,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.6377,                 1.4077,                 1.4816,                0.57349,                0.54528,                0.55465,                 0.2567,                 1.8263,                 1.5009,                   1.59,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.6278,                 1.3775,                 1.4753,                0.59816,                0.55175,                0.58994,                0.27753,                  1.824,                 1.4498,                 1.5896,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.6309,                 1.3759,                 1.4689,                0.56694,                0.56607,                0.56045,                0.27145,                 1.8082,                 1.4646,                 1.5724,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.6117,                 1.3515,                 1.4621,                0.54264,                 0.6222,                0.58047,                0.27392,                 1.8053,                 1.4654,                 1.5707,               0.000854,               0.000854,               0.000854
                     34,                 1.5873,                 1.3153,                  1.433,                0.53786,                0.58974,                0.58513,                 0.2803,                 1.8042,                 1.4762,                  1.567,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.5973,                 1.3245,                 1.4443,                0.62813,                0.56012,                0.59614,                0.27863,                 1.7947,                 1.4315,                 1.5738,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5907,                 1.2913,                 1.4314,                0.61175,                0.55387,                0.58439,                0.27486,                 1.8391,                 1.4599,                 1.6029,             0.00081688,             0.00081688,             0.00081688
                     37,                  1.571,                 1.2672,                 1.4136,                0.61809,                0.55686,                  0.583,                0.27408,                 1.8431,                 1.4733,                 1.5886,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.5653,                 1.2633,                 1.4157,                0.57242,                0.60638,                 0.6023,                0.27843,                 1.8262,                 1.4214,                 1.5704,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5595,                 1.2566,                 1.4133,                 0.6146,                0.57915,                0.60257,                0.28448,                 1.8396,                 1.4209,                 1.5801,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.5514,                 1.2343,                 1.4037,                0.60442,                0.58354,                0.62019,                0.30249,                 1.8021,                 1.3622,                 1.5736,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5381,                  1.231,                  1.392,                0.62421,                0.58663,                0.60952,                0.28643,                 1.8207,                  1.377,                 1.5778,               0.000755,               0.000755,               0.000755
                     42,                 1.5201,                 1.1952,                 1.3879,                0.63984,                0.56644,                0.62177,                0.29249,                  1.826,                 1.3714,                  1.576,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5286,                 1.1985,                 1.3872,                 0.6135,                0.62489,                0.62339,                0.29274,                 1.8239,                 1.3423,                 1.5878,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.5198,                 1.1851,                 1.3904,                0.59662,                0.58113,                0.59849,                0.28634,                 1.8633,                 1.3823,                 1.6129,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.5092,                  1.171,                  1.378,                0.58417,                0.59434,                0.60015,                0.28457,                 1.8139,                 1.4024,                 1.5751,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.4947,                 1.1554,                  1.361,                0.63548,                  0.568,                0.60389,                  0.284,                 1.8122,                 1.3873,                 1.5804,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.4883,                 1.1424,                 1.3549,                0.66701,                0.55872,                0.60936,                0.28785,                 1.8338,                 1.3813,                  1.592,             0.00068075,             0.00068075,             0.00068075
                     48,                  1.483,                 1.1328,                 1.3543,                0.60581,                0.59452,                0.62081,                0.29434,                 1.8152,                 1.3523,                 1.5808,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.4777,                 1.1163,                 1.3487,                0.62566,                 0.5954,                0.62417,                0.29026,                 1.8356,                 1.3597,                 1.5887,               0.000656,               0.000656,               0.000656
                     50,                 1.4721,                 1.1183,                 1.3484,                 0.6506,                0.59646,                0.62884,                0.29839,                 1.8212,                  1.332,                 1.5845,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4595,                  1.109,                 1.3313,                0.63175,                0.59552,                0.62733,                0.30261,                 1.8309,                 1.3463,                 1.5729,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4493,                 1.0707,                 1.3248,                0.63236,                0.61402,                0.63904,                0.30232,                  1.858,                 1.3331,                 1.5906,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.4437,                  1.072,                 1.3234,                0.62377,                0.60659,                0.63562,                0.29537,                 1.8252,                 1.3267,                 1.5652,              0.0006065,              0.0006065,              0.0006065
