                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2619,                 5.5822,                 1.9028,                0.18842,                0.24285,                0.14773,                0.05374,                 2.2583,                 2.8802,                 1.9515,             0.00041604,             0.00041604,             0.00041604
                      2,                 2.1849,                 3.5466,                 1.8774,                 0.2348,                0.25241,                0.15771,                0.05711,                 2.1747,                 2.5535,                 1.9224,             0.00082446,             0.00082446,             0.00082446
                      3,                 2.1723,                 2.8569,                   1.88,                0.25567,                0.22444,                0.18494,                 0.0716,                 2.1198,                  2.394,                 1.9227,              0.0012246,              0.0012246,              0.0012246
                      4,                 2.1474,                 2.5623,                 1.8793,                0.29779,                0.26378,                0.21347,                0.08712,                 2.0675,                 2.3931,                 1.8959,              0.0012129,              0.0012129,              0.0012129
                      5,                  2.078,                 2.4048,                 1.8191,                 0.3642,                0.30066,                0.26369,                0.11302,                 2.0457,                 2.2607,                 1.8336,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.0651,                 2.2903,                 1.8107,                0.32301,                0.32312,                0.27717,                0.11739,                 2.0097,                 2.1155,                 1.8404,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.0212,                 2.2681,                 1.7699,                0.36634,                0.28222,                0.28128,                0.11838,                 1.9817,                 2.1469,                 1.7289,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9989,                  2.248,                 1.7613,                0.38699,                 0.3528,                0.31158,                0.12969,                 1.9763,                 2.0914,                 1.7658,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9801,                 2.1648,                 1.7574,                0.42506,                0.36336,                0.34151,                0.14486,                 1.9471,                 2.0135,                 1.7532,               0.001151,               0.001151,               0.001151
                     10,                 1.9568,                 2.1447,                 1.7257,                0.39819,                0.33015,                0.30185,                0.12922,                 1.9699,                 2.0762,                 1.7747,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.9225,                 2.0835,                  1.711,                0.35184,                0.41559,                0.34755,                0.14788,                 1.9274,                 2.0538,                 1.7174,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.9366,                 2.0581,                 1.6952,                0.40197,                0.37064,                0.34379,                0.14229,                 1.9473,                 1.9691,                 1.7444,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.9031,                 2.0295,                 1.6834,                0.43255,                0.37371,                0.35842,                0.15474,                 1.9033,                 1.9307,                 1.7027,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8937,                 1.9922,                 1.6642,                0.65738,                0.32273,                0.36345,                0.15666,                   1.89,                 1.9641,                  1.698,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.8672,                 1.9368,                 1.6541,                0.32696,                0.39157,                0.34682,                  0.152,                  1.915,                 1.9262,                 1.6947,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.8728,                 1.9527,                 1.6568,                0.35083,                0.45646,                0.37696,                0.17068,                 1.8875,                 1.9096,                 1.7008,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.8445,                 1.8841,                 1.6304,                0.39996,                0.42749,                0.38901,                0.17413,                 1.8924,                 1.8808,                 1.6521,               0.001052,               0.001052,               0.001052
                     18,                 1.8539,                 1.8707,                 1.6255,                0.39246,                0.46168,                0.40493,                0.17954,                 1.8914,                 1.8338,                 1.6698,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8426,                 1.8502,                 1.6145,                0.50779,                0.39545,                0.44065,                0.19643,                 1.8643,                 1.7793,                 1.6526,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8276,                 1.8235,                 1.6171,                0.45885,                0.43588,                0.40353,                0.18361,                 1.8587,                 1.8075,                 1.6416,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.8208,                 1.8505,                 1.6184,                0.42229,                0.43204,                0.40464,                0.18232,                 1.8663,                 1.8179,                 1.6652,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7967,                 1.7803,                 1.5931,                0.43483,                0.46031,                0.42482,                0.18505,                 1.8571,                 1.8051,                 1.6493,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.7936,                 1.7611,                 1.5903,                0.42677,                0.43354,                0.42025,                0.18845,                 1.8278,                 1.8084,                 1.6314,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.7882,                 1.7482,                 1.5807,                0.44422,                0.48131,                0.44735,                0.20145,                 1.8551,                 1.7548,                 1.6418,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.7784,                 1.7452,                 1.5764,                0.41611,                 0.4735,                0.41701,                0.19489,                 1.8601,                 1.7671,                 1.6238,               0.000953,               0.000953,               0.000953
