                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2145,                 4.8533,                 1.8849,                0.23416,                0.27898,                0.19126,                0.06877,                  2.191,                 2.7562,                 1.9095,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1479,                 2.8191,                 1.8487,                0.34873,                 0.3309,                0.25748,                0.10082,                 2.0867,                 2.2862,                 1.8324,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.1084,                 2.4674,                 1.8194,                0.54522,                0.28775,                 0.2808,                0.11373,                   2.06,                 2.1489,                 1.7594,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.0613,                 2.3457,                 1.8031,                0.42756,                0.38515,                0.31683,                 0.1292,                 1.9827,                 2.1437,                 1.7371,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0309,                 2.2411,                 1.7615,                0.36019,                0.35412,                0.32442,                0.14057,                 1.9898,                 2.0695,                 1.7422,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9904,                 2.1606,                 1.7407,                0.36057,                0.41042,                0.35378,                0.15064,                 1.9204,                 1.9595,                 1.6785,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9457,                 2.0857,                 1.7089,                0.41465,                0.41449,                0.36036,                0.15433,                 1.8769,                 1.9074,                 1.6682,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9254,                  2.027,                 1.6778,                0.42291,                0.41992,                0.37963,                0.16392,                 1.8722,                  1.905,                 1.6609,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8944,                 1.9885,                 1.6677,                0.65171,                 0.3303,                0.39645,                0.17434,                 1.8779,                 1.8607,                 1.6352,               0.001151,               0.001151,               0.001151
                     10,                  1.873,                 1.9243,                  1.654,                0.46147,                0.41619,                0.40677,                0.17747,                 1.8882,                 1.8186,                 1.6565,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8622,                 1.8981,                 1.6513,                0.46232,                0.42504,                 0.4187,                0.18853,                 1.8605,                 1.8324,                 1.6392,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8441,                 1.8318,                 1.6226,                0.48178,                 0.4668,                0.44199,                0.19906,                 1.8554,                 1.7592,                 1.6229,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8331,                 1.8163,                 1.6197,                0.47911,                0.46758,                0.44112,                0.19791,                  1.823,                 1.7722,                 1.6007,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8195,                 1.7941,                 1.6079,                0.47216,                0.46446,                0.43072,                0.19349,                 1.8541,                 1.7622,                 1.6283,              0.0010891,              0.0010891,              0.0010891
