                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1488,                 4.7796,                  1.744,                0.33593,                0.30572,                0.25913,                0.10639,                 2.0581,                 2.3163,                 1.7242,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1022,                 2.7601,                 1.7444,                0.28641,                0.27442,                0.22562,                0.09612,                 2.1146,                 2.3487,                 1.7887,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.0906,                 2.4293,                 1.7482,                0.37386,                0.29584,                0.30776,                0.12165,                 2.0006,                 2.1494,                 1.7167,              0.0012249,              0.0012249,              0.0012249
                      4,                  2.043,                 2.3097,                 1.7382,                0.53901,                0.35152,                0.33311,                0.13668,                 1.9663,                 2.0984,                 1.6604,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0101,                 2.2004,                 1.7015,                0.47082,                0.35465,                0.33055,                0.13988,                 1.9821,                 2.0428,                 1.6795,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9702,                 2.1315,                  1.672,                0.33441,                0.40737,                 0.3458,                0.15184,                 1.9188,                  1.994,                 1.6526,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9351,                 2.0734,                 1.6532,                0.41032,                 0.3565,                0.35841,                0.15122,                 1.9228,                 1.9085,                 1.6311,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9146,                 2.0155,                 1.6253,                0.37145,                0.47586,                0.38328,                0.17637,                 1.8915,                 1.8741,                 1.5995,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8816,                 1.9412,                 1.6115,                 0.3824,                 0.4259,                0.36535,                0.17316,                 1.8682,                 1.8742,                 1.5944,               0.001151,               0.001151,               0.001151
                     10,                 1.8554,                 1.8915,                 1.5961,                0.42008,                  0.469,                0.41346,                0.18203,                 1.9123,                 1.7934,                  1.599,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8555,                 1.8763,                 1.5897,                0.48453,                0.41118,                0.42379,                0.19196,                 1.8418,                 1.7618,                 1.5676,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8316,                 1.8273,                  1.577,                0.51726,                0.43695,                0.43871,                0.19623,                 1.8566,                 1.7597,                 1.5605,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8187,                 1.7683,                 1.5646,                0.45456,                0.48625,                0.44412,                  0.206,                 1.8052,                 1.7048,                 1.5631,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.802,                 1.7416,                  1.549,                 0.4743,                0.46545,                0.44075,                0.20428,                 1.8429,                 1.7485,                 1.5677,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.7823,                 1.7007,                 1.5387,                0.37797,                0.53874,                0.45555,                0.21296,                 1.8204,                 1.7194,                 1.5627,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7743,                 1.6926,                 1.5247,                0.55108,                0.49737,                0.49301,                0.22364,                 1.8368,                 1.6107,                 1.5465,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.7692,                 1.6462,                 1.5201,                0.51703,                0.50875,                0.50096,                0.23134,                 1.8433,                 1.5871,                 1.5546,               0.001052,               0.001052,               0.001052
                     18,                 1.7664,                 1.6486,                 1.5221,                 0.4809,                0.51341,                0.48416,                0.22949,                 1.7914,                 1.6291,                 1.5269,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7239,                 1.6041,                 1.4902,                0.56329,                0.47344,                0.50817,                0.22863,                 1.8525,                 1.6105,                 1.5419,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.7306,                 1.5804,                  1.494,                0.54495,                 0.4962,                0.50923,                0.24189,                 1.7765,                 1.5871,                 1.5046,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7113,                 1.5454,                 1.4792,                0.56904,                0.49846,                0.53666,                0.24913,                 1.7914,                  1.544,                 1.5194,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7023,                 1.5194,                 1.4726,                0.50721,                0.55359,                0.54797,                0.25639,                 1.7852,                 1.4968,                  1.504,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.698,                 1.5003,                 1.4667,                0.53854,                0.50689,                0.53953,                0.25484,                 1.7914,                 1.5287,                 1.5245,             0.00097775,             0.00097775,             0.00097775
                     24,                   1.68,                 1.4908,                 1.4539,                0.55257,                0.54812,                0.55018,                0.25239,                 1.8051,                 1.5251,                 1.5237,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6715,                 1.4502,                 1.4535,                 0.5238,                0.52613,                0.53711,                0.25099,                 1.8266,                 1.4945,                 1.5349,               0.000953,               0.000953,               0.000953
                     26,                  1.658,                 1.4335,                 1.4336,                0.49104,                0.57717,                0.54867,                0.24927,                 1.8019,                 1.4931,                 1.5178,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.6549,                 1.4145,                 1.4297,                0.59625,                0.50838,                0.54793,                0.25877,                 1.8074,                 1.4815,                 1.5243,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.6523,                 1.3962,                 1.4315,                0.63541,                0.50964,                0.57477,                  0.269,                 1.7881,                 1.4637,                 1.5086,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.6237,                 1.3658,                 1.4148,                0.56374,                0.54643,                0.56879,                 0.2731,                 1.7846,                 1.4609,                 1.4893,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.6171,                 1.3541,                 1.4155,                0.57183,                0.57068,                0.56396,                0.25638,                 1.7892,                 1.4617,                 1.5038,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.5985,                 1.3294,                 1.3982,                0.56996,                0.56851,                0.58092,                0.27299,                  1.817,                 1.4221,                 1.5153,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.6022,                 1.3203,                  1.391,                0.57381,                0.57958,                0.57417,                0.27202,                 1.7993,                 1.4514,                  1.502,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.5869,                 1.3063,                 1.3877,                 0.6036,                0.58308,                0.60835,                0.28978,                 1.7751,                 1.3726,                 1.4898,               0.000854,               0.000854,               0.000854
                     34,                 1.5734,                 1.2716,                 1.3696,                0.59532,                0.59201,                0.59514,                0.28302,                 1.7754,                  1.406,                 1.4825,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.5757,                 1.2794,                 1.3726,                0.53864,                0.58024,                0.55896,                0.27255,                 1.7858,                 1.4205,                 1.4933,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5625,                 1.2419,                 1.3599,                0.56418,                 0.5814,                0.58686,                0.27752,                  1.813,                 1.4239,                 1.5217,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5441,                 1.2286,                 1.3463,                0.60804,                0.56051,                0.57799,                0.28517,                 1.7981,                  1.382,                 1.5185,              0.0008045,              0.0008045,              0.0008045
