                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.148,                 4.7436,                 1.7517,                0.31535,                 0.2655,                0.23792,                0.09449,                 2.1256,                 2.3358,                 1.7491,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.1204,                 2.8094,                  1.774,                0.55146,                0.27229,                0.25425,                0.10341,                 2.1151,                 2.3693,                 1.7864,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.0914,                 2.4512,                 1.7493,                0.50861,                 0.2684,                0.28441,                0.11618,                 2.0622,                 2.1432,                 1.7338,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.0531,                 2.3237,                 1.7432,                0.56913,                0.30422,                0.31394,                0.13573,                 1.9734,                 2.1153,                 1.7024,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0132,                  2.205,                 1.7051,                0.37526,                 0.3765,                0.33611,                0.14142,                 1.9719,                 1.9878,                 1.6633,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.968,                 2.1244,                 1.6869,                0.63777,                0.32768,                0.37975,                0.16309,                 1.9142,                 1.9537,                 1.6542,              0.0011881,              0.0011881,              0.0011881
                      7,                   1.92,                  2.056,                 1.6428,                0.37178,                0.41605,                0.36229,                0.15758,                 1.9165,                  1.909,                 1.6484,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9093,                 1.9962,                  1.636,                0.44813,                0.39994,                0.38489,                0.17803,                 1.9139,                 1.8533,                 1.6177,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8843,                 1.9524,                 1.6161,                0.59147,                0.36521,                0.38862,                0.17519,                 1.8491,                 1.8486,                 1.5802,               0.001151,               0.001151,               0.001151
                     10,                 1.8689,                 1.9086,                 1.6055,                0.44776,                0.44933,                0.41837,                0.19012,                 1.8505,                 1.7911,                 1.6013,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8479,                 1.8672,                 1.6051,                0.66458,                0.38054,                0.42359,                0.19453,                 1.8227,                  1.802,                  1.549,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8318,                 1.8087,                 1.5747,                0.43275,                 0.4677,                0.43455,                0.20012,                 1.8394,                 1.7396,                 1.5686,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8126,                 1.7678,                 1.5622,                0.58754,                0.44504,                0.47007,                 0.2136,                 1.8173,                 1.7117,                 1.5471,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.7996,                 1.7476,                 1.5598,                0.42997,                0.49158,                0.43935,                0.20996,                 1.8223,                 1.6756,                 1.5734,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.7939,                 1.7148,                  1.548,                0.54076,                0.41991,                0.45432,                0.21315,                 1.7978,                 1.7242,                 1.5369,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7762,                 1.6992,                 1.5314,                0.46095,                0.49313,                0.48336,                0.21982,                 1.8513,                 1.6406,                 1.5706,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.7654,                 1.6482,                 1.5221,                0.52906,                0.48585,                 0.5044,                0.22888,                 1.8559,                 1.6329,                 1.5876,               0.001052,               0.001052,               0.001052
                     18,                 1.7509,                 1.6298,                  1.516,                0.51453,                 0.5607,                0.54113,                0.24244,                 1.7939,                 1.6052,                 1.5533,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7348,                 1.6158,                 1.4998,                0.50411,                0.51153,                0.49817,                0.22634,                 1.8157,                 1.6436,                 1.5538,              0.0010273,              0.0010273,              0.0010273
                     20,                  1.729,                 1.5861,                 1.4975,                0.55473,                 0.5083,                0.52327,                0.23939,                 1.8039,                 1.6046,                 1.5263,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7143,                 1.5584,                 1.4863,                0.56142,                0.53807,                0.54379,                0.25149,                 1.7841,                 1.5405,                 1.5211,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7026,                  1.527,                  1.479,                0.55621,                0.53266,                0.52693,                0.24361,                  1.802,                 1.5776,                 1.5283,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.6922,                  1.503,                 1.4747,                0.51793,                0.52954,                0.52492,                0.24583,                 1.8191,                 1.5326,                 1.5262,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.687,                 1.4923,                 1.4673,                0.56626,                0.53741,                0.57009,                0.26358,                 1.8263,                 1.5106,                 1.5383,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6665,                 1.4552,                  1.457,                0.55324,                0.54605,                0.55197,                0.25811,                 1.8046,                 1.5252,                 1.5377,               0.000953,               0.000953,               0.000953
                     26,                 1.6519,                 1.4207,                 1.4408,                0.52971,                0.54399,                0.53503,                0.25569,                 1.7881,                 1.5377,                 1.5218,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.6543,                 1.4347,                 1.4389,                0.62286,                0.54048,                0.57976,                0.26282,                 1.8189,                 1.4959,                 1.5425,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.6386,                 1.3872,                 1.4311,                0.53884,                0.58286,                0.57005,                0.26858,                 1.8069,                  1.473,                 1.5445,             0.00091588,             0.00091588,             0.00091588
